setting,seed,lambda,RR_held,Reg,CReg,method
tt100k_signs/resnet50,202,1.0,0.37209302325581395,0.00027616680475006904,0.0,DynaPatch
tt100k_signs/resnet50,202,2.0,0.35658914728682173,0.0,0.0,DynaPatch
tt100k_signs/resnet50,202,4.0,0.29844961240310075,0.0,0.0,DynaPatch
tt100k_signs/vgg16,202,0.5,0.32926829268292684,0.0019635343618513326,0.0014796547472256474,DynaPatch
tt100k_signs/vgg16,202,1.0,0.32621951219512196,0.0015427769985974754,0.0014796547472256474,DynaPatch
tt100k_signs/vgg16,202,2.0,0.3231707317073171,0.0007012622720897616,0.0004932182490752158,DynaPatch
tt100k_signs/vgg16,202,4.0,0.31402439024390244,0.00042075736325385696,0.0004932182490752158,DynaPatch
gtsrb/convnext_tiny,303,0.5,0.8341013824884793,0.0013323767551501487,0.0,DynaPatch
gtsrb/convnext_tiny,303,1.0,0.8341013824884793,0.0013323767551501487,0.0,DynaPatch
gtsrb/convnext_tiny,303,2.0,0.8341013824884793,0.0013323767551501487,0.0,DynaPatch
gtsrb/convnext_tiny,303,4.0,0.8341013824884793,0.0013323767551501487,0.0,DynaPatch
gtsrb/densenet121,303,0.5,0.8433734939759037,0.00010028078620136381,0.0,DynaPatch
gtsrb/densenet121,303,1.0,0.8433734939759037,0.00010028078620136381,0.0,DynaPatch
gtsrb/densenet121,303,2.0,0.8313253012048193,0.00010028078620136381,0.0,DynaPatch
gtsrb/densenet121,303,4.0,0.8313253012048193,0.00010028078620136381,0.0,DynaPatch
gtsrb/resnet50,303,0.5,0.6458333333333334,0.000997307270370001,0.0,DynaPatch
gtsrb/resnet50,303,1.0,0.625,0.0005983843622220006,0.0,DynaPatch
gtsrb/resnet50,303,2.0,0.6041666666666666,0.0004986536351850005,0.0,DynaPatch
gtsrb/resnet50,303,4.0,0.5625,0.0002991921811110003,0.0,DynaPatch
gtsrb/vgg16,303,0.5,0.5789473684210527,0.001122334455667789,0.0005213764337851929,DynaPatch
gtsrb/vgg16,303,1.0,0.5736842105263158,0.0008162432404856647,0.0005213764337851929,DynaPatch
gtsrb/vgg16,303,2.0,0.5631578947368421,0.0005101520253035404,0.0005213764337851929,DynaPatch
gtsrb/vgg16,303,4.0,0.5578947368421052,0.00020406081012141618,0.0,DynaPatch
lisa_signs/convnext_tiny,303,0.5,0.35714285714285715,0.00210637177461822,0.0027247956403269754,DynaPatch
lisa_signs/convnext_tiny,303,1.0,0.35714285714285715,0.001579778830963665,0.0027247956403269754,DynaPatch
lisa_signs/convnext_tiny,303,2.0,0.2857142857142857,0.000526592943654555,0.0,DynaPatch
lisa_signs/convnext_tiny,303,4.0,0.21428571428571427,0.0,0.0,DynaPatch
lisa_signs/densenet121,303,0.5,0.29411764705882354,0.0010559662090813093,0.0013605442176870747,DynaPatch
lisa_signs/densenet121,303,1.0,0.23529411764705882,0.0,0.0,DynaPatch
lisa_signs/densenet121,303,2.0,0.23529411764705882,0.0,0.0,DynaPatch
lisa_signs/densenet121,303,4.0,0.23529411764705882,0.0,0.0,DynaPatch
lisa_signs/resnet50,303,0.5,0.38235294117647056,0.003215434083601286,0.004219409282700422,DynaPatch
lisa_signs/resnet50,303,1.0,0.38235294117647056,0.0026795284030010718,0.004219409282700422,DynaPatch
lisa_signs/resnet50,303,2.0,0.35294117647058826,0.001607717041800643,0.0028129395218002813,DynaPatch
lisa_signs/resnet50,303,4.0,0.35294117647058826,0.001607717041800643,0.0028129395218002813,DynaPatch
tt100k_signs/convnext_tiny,303,0.5,0.3532110091743119,0.0004106214070626882,0.0007230657989877079,DynaPatch
tt100k_signs/convnext_tiny,303,1.0,0.3532110091743119,0.0002737476047084588,0.00048204386599180526,DynaPatch
tt100k_signs/convnext_tiny,303,2.0,0.3394495412844037,0.0002737476047084588,0.00048204386599180526,DynaPatch
tt100k_signs/convnext_tiny,303,4.0,0.3211009174311927,0.0001368738023542294,0.00024102193299590263,DynaPatch
tt100k_signs/densenet121,303,0.5,0.5064102564102564,0.0012578616352201257,0.0017110730872647274,DynaPatch
tt100k_signs/densenet121,303,1.0,0.5064102564102564,0.0011180992313067784,0.0014666340747983377,DynaPatch
tt100k_signs/densenet121,303,2.0,0.5032051282051282,0.0004192872117400419,0.0004888780249327792,DynaPatch
tt100k_signs/densenet121,303,4.0,0.4775641025641026,0.0004192872117400419,0.0004888780249327792,DynaPatch
